Name,FIDE ID,Born,Birthplace,Died,Title Year,Federation,Sex,Notes
"Aagaard, Jacob",1401815,1973-07-31,Hørsholm,,2007,Denmark,M,Di Felice; title application; currently Scotland
"Abasov, Nijat",13402960,1995-05-14,Baku,,2011,Azerbaijan,M,Di Felice; title application
"Abbasifar, Hasan",12501000,1972-09-12,Shiraz,,2013,Iran,M,Di Felice; title application
"Abbasov, Farid",13400665,1979-01-31,Baku,,2007,Azerbaijan,M,Di Felice; title application
"Abdusattorov, Nodirbek",14204118,2004-09-18,Tashkent,,2018,Uzbekistan,M,title application
"Abergel, Thal",614890,1982-10-13,Haifa,,2008,France,M,Di Felice; title application
"Abramović, Boško",900206,1951-02-14,Zrenjanin,,1984,Yugoslavia,M,Di Felice; currently Serbia
"Abreu Delgado, Aryam",3502589,1978-07-09,Güines,,2008,Cuba,M,Di Felice; title application
"Ács, Péter",708020,1981-05-10,Eger,,1998,Hungary,M,Di Felice
"Aczél, Gergely",727709,1991-02-27,Budapest,,2018,Hungary,M,Di Felice; title application
"Adams, Michael",400041,1971-11-17,Truro,,1989,England,M,Di Felice
Adhiban B.,5018471,1992-08-15,Chennai,,2010,India,M,Di Felice; title application
"Adianto, Utut",7100019,1965-03-16,Jakarta,,1986,Indonesia,M,Di Felice
"Adly, Ahmed",10601619,1987-02-19,Cairo,,2005,Egypt,M,Di Felice; title application
"Adorján, András",700096,1950-03-31,Budapest,,1973,Hungary,M,Di Felice
"Afanasiev, Nikita",24183555,2000-08-29,,,2020,Russia,M,title application
"Agaragimov, Djakhangir",13401718,1986-12-05,,,2014,Azerbaijan,M,Di Felice; title application
"Agdestein, Simen",1500015,1967-05-15,Asker,,1985,Norway,M,Di Felice
"Aghamaliyev, Cemil",13400215,1974-08-31,,,2002,Azerbaijan,M,Di Felice; formerly Gamil Agamaliev; currently Turkey
"Aghasaryan, Robert",13302841,1994-03-01,Saint Petersburg,,2014,Armenia,M,Di Felice; title application
"Agrest, Evgenij",1705024,1966-08-15,Vitebsk,,1997,Russia,M,Di Felice; currently Sweden
"Agüero Jiménez, Luis Lázaro",3508455,1991-01-05,Havana,,2019,Cuba,M,Di Felice; title application
"Agzamov, Georgy",,1954-09-06,Almalyk,1986-08-27,1984,Soviet Union,M,Di Felice
"Ajrapetjan, Yuriy",14109069,1988-04-18,Yerevan,,2007,Ukraine,M,Di Felice; title application
Akash G.,5040299,1996-10-01,Chennai,,2020,India,M,title application
"Akbaev, Kazbek",4131045,1981-06-08,Cherkessk,,2015,Russia,M,Di Felice; title application
"Åkesson, Ralf",1700120,1961-02-08,Oxelösund,,1995,Sweden,M,Di Felice
"Akobian, Varuzhan",13300580,1983-11-19,Yerevan,,2004,Armenia,M,Di Felice; currently United States
"Akopian, Vladimir",13300032,1971-12-07,Baku,,1991,Armenia,M,Di Felice
Akshayraj Kore,5012414,1988-09-01,Ahmednagar,,2013,India,M,Di Felice; title application
"Al-Sayed, Mohamad",12100196,1981-11-02,,,2009,Qatar,M,Di Felice; title application
"Al-Mudahka, Mohd",12100030,1974-06-01,,,1998,Qatar,M,Di Felice
"Alatortsev, Vladimir",,1909-05-14,Turki,1987-01-13,1983,Soviet Union,M,Di Felice; honorary
"Alavkin, Arseny",4120612,1969-01-17,Kazan,,2010,Russia,M,Di Felice; title application
"Albornoz Cabrera, Carlos Daniel",3518736,2000-12-26,Camagüey,,2019,Cuba,M,Di Felice; title application
"Alburt, Lev",2000156,1945-08-21,Orenburg,,1977,Soviet Union,M,Di Felice; currently United States
"Aleksandrov, Aleksej",13500139,1973-05-11,,,1997,Belarus,M,Di Felice
"Alekseenko, Kirill",4135539,1997-06-22,Saint Petersburg,,2015,Russia,M,Di Felice; title application
"Alekseev, Evgeny",4138147,1985-11-28,"Pushkin, Saint Petersburg",,2002,Russia,M,Di Felice
"Ali Marandi, Cemil Can",6300529,1998-01-17,İzmir,,2017,Turkey,M,title application
"Almási, Zoltán",702293,1976-08-29,Járdánháza,,1993,Hungary,M,Di Felice
"Almeida Quintana, Omar",3503313,1981-10-28,Havana,,2006,Cuba,M,Di Felice
"Alonso Rosell, Alvar",2270544,1992-09-13,Figueres,,2013,Spain,M,Di Felice; title application
"Alonso, Salvador",105198,1974-09-07,Buenos Aires,,2009,Argentina,M,Di Felice; title application
"Alsina Leal, Daniel",2252627,1988-05-10,Barcelona,,2010,Spain,M,Di Felice; title application
"Alterman, Boris",2801906,1970-05-04,Kharkiv,,1992,Ukraine,M,Di Felice; currently Israel
"Alvarez Pedraza, Aramis",3507408,1988-07-27,"Santa Clara, Cuba",,2010,Cuba,M,Di Felice; title application
"Amanov, Mesgen",14000652,1986-09-06,Daşoguz,,2009,Turkmenistan,M,Di Felice; title application
"Amin, Bassem",10601457,1988-09-09,Tanta,,2006,Egypt,M,Di Felice
"Amonatov, Farrukh",14700077,1978-04-13,,,2002,Tajikistan,M,Di Felice
"Anagno­stopoulos, Dimitris",4204077,1970-06-11,,,1996,Greece,M,Di Felice
"Anand, Viswanathan",5000017,1969-12-11,Chennai,,1988,India,M,Di Felice
"Anastasian, Ashot",13300059,1964-07-16,Yerevan,2016-12-26,1993,Armenia,M,Di Felice
"Andersen, Mads",1413864,1995-03-01,Nuuk,,2016,Denmark,M,Di Felice; title application
"Andersson, Ulf",1700014,1951-06-27,Västerås,,1972,Sweden,M,Di Felice
"Andreev, Eduard",14103400,1980-03-12,Slaviansk,,2005,Ukraine,M,Di Felice; title application
"Andreikin, Dmitry",4158814,1990-02-05,Ryazan,,2007,Russia,M,Di Felice; title application
"Andriasian, Zaven",13302000,1989-03-11,Yerevan,,2006,Armenia,M,Di Felice; IM title application
"Anić, Darko",602612,1957-04-30,Zadar,,1999,France,M,FIDE Golden Book; Di Felice
"Anisimov, Pavel",4135229,1986-04-19,Leningrad,,2019,Russia,M,title application
"Anka, Emil",700754,1969-01-20,Békéscsaba,,2001,Hungary,M,Di Felice
"Annageldyev, Orazly",14000016,1960-03-20,Bezmein,,2005,Turkmenistan,M,Di Felice; title application
"Annakov, Babakuli",14000032,1972-05-29,,,1998,Turkmenistan,M,Di Felice; currently United States
"Antal, Gergely",717312,1985-03-20,,,2011,Hungary,M,Di Felice; title application
"Antić, Dejan",901008,1968-12-09,Belgrade,,1999,Yugoslavia,M,Di Felice; currently Serbia
"Antipov, Mikhail",4107012,1997-06-10,Moscow,,2013,Russia,M,Di Felice; title application
"Antón Guijarro, David",2285525,1995-06-23,Murcia,,2013,Spain,M,Di Felice; title application; title application
"Antoniewski, Rafał",1111078,1980-12-03,Bielsko-Biała,,2010,Poland,M,Di Felice; title application
"Antonio, Rogelio Jr.",5200032,1962-02-19,,,1993,Philippines,M,Di Felice
"Antoshin, Vladimir",,1929-05-14,Moscow,1994-05-13,1964,Russia,M,Di Felice
"Antunes, Antônio",1900013,1962-02-06,Lisbon,,1994,Portugal,M,Di Felice
"Apicella, Manuel",600164,1970-04-19,Longjumeau,,1995,France,M,Di Felice
"Appel, Ralf",4600924,1971-07-18,Pirmasens,,2008,Germany,M,Di Felice; title application
"Arakhamia-Grant, Ketevan",13600168,1968-07-19,Ochamchira,,2009,Scotland,F,Di Felice; title application
Aravindh Chithambaram,5072786,1999-09-11,Thirunagar,,2015,India,M,Di Felice
"Arbakov, Valentin",4100620,1952-01-28,,2003-11-30,1994,Russia,M,Di Felice
Ardiansyah,7100027,1951-12-05,Banjarmasin,2017-10-28,1986,Indonesia,M,"Di Felice; FIDE Golden Book; in some sources ""Ardiansyah, H"" or ""Adiansyah, Hasan"""
"Arenas, David",4403177,1991-12-24,,,2017,Colombia,M,title application
